Run	Time	Name	X_pos	Y_pos	State	Delay	OnCue
0	0.95	Bee04	42.90	40.36	0	0	False
0	0.98	Bee03	42.40	41.54	0	0	False
0	1.96	Bee04	42.90	40.36	0	0	False
0	2.19	Bee03	42.40	41.54	0	0	False
0	2.90	Bee15	10.50	14.30	0	0	False
0	2.97	Bee09	11.66	14.53	0	0	False
0	4.17	Bee09	11.65	14.53	0	0	False
0	4.23	Bee07	0.46	25.54	0	0	False
0	4.71	Bee15	10.51	14.30	0	0	False
0	4.71	Bee11	11.98	13.17	0	0	False
0	5.72	Bee15	10.51	14.31	0	0	False
0	5.82	Bee09	11.71	14.46	0	0	False
0	5.99	Bee11	12.00	13.32	0	0	False
0	6.24	Bee07	0.46	25.54	0	0	False
0	7.23	Bee09	11.71	14.46	0	0	False
0	7.23	Bee09	11.71	14.46	0	0	False
0	7.53	Bee15	10.51	14.30	0	0	False
0	7.81	Bee17	32.75	20.29	0	55.91531	True
0	7.82	Bee12	34.10	20.55	0	50.9434	True
0	8.53	Bee15	10.51	14.30	0	0	False
0	8.84	Bee09	11.70	14.46	0	0	False
0	9.74	Bee15	10.52	14.30	0	0	False
0	10.24	Bee09	11.70	14.46	0	0	False
0	10.75	Bee15	10.52	14.29	0	0	False
0	11.25	Bee09	11.69	14.46	0	0	False
