Run	Time	Name	X_pos	Y_pos	Collision	OnCue
0	0.02	Bee01	25.52	15.46	0	True
0	0.02	Bee14	28.49	23.46	0	True
0	0.02	Bee02	29.54	22.50	0	True
0	0.63	Bee16	21.01	13.65	0	True
0	0.95	Bee04	42.90	40.36	1	False
0	0.99	Bee03	42.40	41.53	1	False
0	1.22	Bee03	42.40	41.49	2	False
0	1.28	Bee01	26.50	13.15	0	False
0	1.84	Bee07	0.45	25.54	1	False
0	1.96	Bee04	42.90	40.36	2	False
0	2.08	Bee03	42.35	41.40	3	False
0	2.78	Bee04	42.90	40.37	3	False
0	2.90	Bee15	10.50	14.30	1	False
0	2.97	Bee09	11.65	14.53	1	False
0	3.08	Bee17	26.54	13.15	0	True
0	3.11	Bee15	10.50	14.31	2	False
0	3.18	Bee09	11.64	14.53	2	False
0	3.39	Bee04	42.90	40.39	4	False
0	3.58	Bee02	36.66	22.62	0	False
0	3.59	Bee09	11.64	14.53	3	False
0	4.40	Bee09	11.63	14.53	4	False
0	4.54	Bee15	10.51	14.31	3	False
0	4.71	Bee11	11.97	13.17	1	False
0	4.95	Bee15	10.51	14.32	4	False
0	5.36	Bee15	10.52	14.32	5	False
0	5.56	Bee14	24.69	13.05	0	False
0	5.82	Bee09	11.63	14.52	5	False
0	6.14	Bee11	11.98	13.21	2	False
0	6.39	Bee00	35.15	31.19	0	True
0	6.43	Bee09	11.63	14.52	6	False
0	6.43	Bee09	11.63	14.52	7	False
0	6.91	Bee12	35.65	19.62	0	True
0	6.96	Bee15	10.52	14.32	6	False
0	6.96	Bee15	10.52	14.32	7	False
0	7.36	Bee11	11.96	13.23	3	False
0	7.80	Bee07	9.18	28.18	2	False
0	7.82	Bee17	32.75	20.30	1	True
0	7.82	Bee12	34.09	20.56	1	True
0	7.86	Bee13	9.96	29.18	1	False
0	8.07	Bee10	18.18	15.05	0	True
0	8.24	Bee09	11.62	14.52	8	False
0	8.42	Bee11	11.97	13.34	4	False
0	8.61	Bee07	9.18	28.18	3	False
0	8.67	Bee13	9.97	29.18	2	False
0	8.82	Bee07	9.19	28.18	4	False
0	9.54	Bee16	14.05	30.06	0	False
0	10.03	Bee11	11.96	13.34	5	False
0	10.05	Bee09	11.62	14.51	9	False
0	10.84	Bee11	11.96	13.34	6	False
0	11.66	Bee11	11.95	13.35	7	False
0	11.66	Bee09	11.62	14.51	10	False
0	12.04	Bee13	13.85	29.67	2	True
0	12.68	Bee09	11.63	14.51	11	False
0	12.73	Bee19	14.46	19.05	0	True
0	12.79	Bee19	14.45	19.16	0	False
0	12.83	Bee19	14.44	19.25	0	True
0	15.74	Bee09	15.35	17.70	11	True
0	15.95	Bee18	16.71	48.23	1	False
0	16.98	Bee18	16.67	48.48	2	False
0	17.71	Bee19	13.45	28.96	0	False
0	17.71	Bee18	16.72	48.79	3	False
0	17.71	Bee18	16.72	48.79	4	False
0	17.95	Bee00	12.82	25.21	0	False
0	18.61	Bee16	6.96	46.76	1	False
0	18.61	Bee04	17.87	48.41	5	False
0	19.07	Bee10	36.85	26.71	0	False
