Run	Time	Name	X_pos	Y_pos

0	0.02	Bee06	16.47	49.52
0	0.02	Bee16	21.48	12.54
0	0.02	Bee15	10.50	8.54
0	0.02	Bee10	4.53	6.52
0	0.02	Bee01	25.52	15.46
0	0.02	Bee07	0.47	25.53
0	0.02	Bee03	42.50	43.46
0	0.02	Bee00	47.46	34.49
0	0.02	Bee13	13.49	44.46
0	0.02	Bee09	17.46	13.51
0	0.02	Bee14	28.49	23.46
0	0.02	Bee19	16.49	1.46
0	0.02	Bee12	47.47	12.52
0	0.02	Bee11	19.47	7.52
0	0.02	Bee17	22.53	8.53
0	0.02	Bee04	42.51	38.54
0	0.02	Bee18	1.46	26.51
0	0.02	Bee02	29.54	22.50
0	0.02	Bee05	13.47	45.53
0	0.02	Bee08	31.47	9.48
0	1.00	Bee06	16.47	49.52
0	1.00	Bee16	20.72	14.34
0	1.00	Bee15	10.50	10.50
0	1.00	Bee10	6.19	7.56
0	1.00	Bee01	26.28	13.66
0	1.00	Bee07	0.47	25.53
0	1.00	Bee03	42.40	41.54
0	1.00	Bee00	45.57	33.98
0	1.00	Bee13	13.05	42.55
0	1.00	Bee09	15.53	13.85
0	1.00	Bee14	27.82	21.62
0	1.00	Bee19	16.33	0.81
0	1.00	Bee12	45.79	13.53
0	1.00	Bee11	17.91	8.70
0	1.00	Bee17	23.81	10.01
0	1.00	Bee04	42.90	40.36
0	1.00	Bee18	0.82	26.69
0	1.00	Bee02	31.50	22.53
0	1.00	Bee05	12.14	46.96
0	1.00	Bee08	29.79	8.47
0	2.00	Bee06	16.28	49.22
0	2.00	Bee16	19.94	16.18
0	2.00	Bee15	10.50	12.50
0	2.00	Bee10	7.89	8.62
0	2.00	Bee01	27.06	11.82
0	2.00	Bee07	0.47	25.53
0	2.00	Bee03	42.40	41.54
0	2.00	Bee00	43.64	33.47
0	2.00	Bee13	12.60	40.61
0	2.00	Bee09	13.56	14.19
0	2.00	Bee14	27.13	19.74
0	2.00	Bee19	16.32	0.81
0	2.00	Bee12	44.07	14.56
0	2.00	Bee11	16.31	9.90
0	2.00	Bee17	25.12	11.52
0	2.00	Bee04	42.90	40.36
0	2.00	Bee18	0.82	26.69
0	2.00	Bee02	33.50	22.57
0	2.00	Bee05	10.77	48.42
0	2.00	Bee08	28.07	7.44
0	3.00	Bee06	15.26	47.50
0	3.00	Bee16	19.16	18.02
0	3.00	Bee15	10.50	14.30
0	3.00	Bee10	9.58	9.68
0	3.00	Bee01	27.84	9.98
0	3.00	Bee07	0.47	25.53
0	3.00	Bee03	41.23	41.18
0	3.00	Bee00	41.71	32.95
0	3.00	Bee13	12.15	38.66
0	3.00	Bee09	11.65	14.53
0	3.00	Bee14	26.45	17.87
0	3.00	Bee19	16.32	0.81
0	3.00	Bee12	42.36	15.59
0	3.00	Bee11	14.71	11.11
0	3.00	Bee17	26.43	13.02
0	3.00	Bee04	42.89	40.36
0	3.00	Bee18	0.81	26.69
0	3.00	Bee02	35.49	22.60
0	3.00	Bee05	10.23	49.01
0	3.00	Bee08	26.36	6.41
