Run	Time	Name	X_pos	Y_pos	Collision	OnCue
0	0.00	Bee38	21.51	26.54	0	True
0	0.00	Bee34	24.48	19.47	0	True
0	0.00	Bee33	33.52	20.46	0	True
0	0.00	Bee28	29.48	28.54	0	True
0	0.00	Bee23	28.53	30.48	0	True
0	0.00	Bee13	46.50	35.46	1	False
0	0.00	Bee12	34.46	27.52	0	True
0	0.35	Bee18	32.40	14.24	1	False
0	0.39	Bee39	2.69	30.36	1	False
0	0.39	Bee28	29.14	29.24	1	True
0	0.39	Bee17	27.30	36.70	0	True
0	0.41	Bee23	29.18	29.97	1	True
0	0.41	Bee23	29.18	29.97	2	True
0	0.57	Bee36	30.14	48.52	1	False
0	1.14	Bee39	2.04	30.47	2	False
0	1.37	Bee33	34.58	17.95	0	False
0	1.45	Bee20	35.47	16.69	1	False
0	1.49	Bee33	34.68	17.71	1	False
0	1.56	Bee39	2.03	30.48	3	False
0	1.60	Bee24	32.36	39.98	1	False
0	1.63	Bee21	32.79	38.79	1	False
0	2.08	Bee16	3.14	31.03	1	False
0	2.19	Bee39	2.00	30.48	4	False
0	2.21	Bee12	30.43	29.31	1	True
0	2.30	Bee16	3.12	31.05	2	False
0	2.42	Bee39	2.00	30.48	5	False
0	2.44	Bee21	32.78	38.80	2	False
0	3.49	Bee34	20.47	13.75	0	False
0	3.49	Bee18	35.39	16.58	2	False
0	4.05	Bee33	33.59	17.45	1	True
0	4.05	Bee26	2.65	29.60	1	False
0	4.05	Bee21	33.11	39.88	3	False
0	4.32	Bee37	15.85	32.66	0	True
0	4.32	Bee16	1.49	30.71	3	False
0	4.32	Bee16	1.49	30.71	4	False
0	4.32	Bee09	47.18	40.29	1	False
0	4.32	Bee09	47.18	40.29	2	False
0	4.32	Bee02	47.15	40.26	1	False
0	4.32	Bee02	47.15	40.26	2	False
0	4.66	Bee39	1.93	29.81	6	False
0	5.12	Bee22	9.02	38.48	1	False
0	5.12	Bee21	33.11	40.80	4	False
0	5.37	Bee30	6.74	37.75	1	False
0	5.37	Bee16	1.09	30.42	5	False
0	5.37	Bee15	6.82	38.81	1	False
0	5.64	Bee38	25.56	37.08	0	False
0	5.64	Bee03	1.53	8.34	1	False
0	5.64	Bee00	26.88	48.74	1	False
0	5.86	Bee38	25.71	37.48	1	False
0	5.86	Bee19	26.53	37.85	1	False
0	6.61	Bee26	2.30	29.47	2	False
0	6.61	Bee26	2.30	29.47	3	False
0	6.61	Bee14	6.81	37.74	1	False
0	6.61	Bee14	6.81	37.74	2	False
0	7.47	Bee15	6.95	38.54	2	False
0	7.65	Bee34	15.70	6.93	1	False
0	7.65	Bee16	1.31	30.13	6	False
0	7.65	Bee08	15.89	6.08	1	False
0	8.64	Bee05	48.40	24.96	1	False
0	8.82	Bee08	15.79	6.43	2	False
0	8.82	Bee08	15.79	6.43	3	False
0	8.82	Bee08	15.79	6.43	4	False
0	9.06	Bee15	6.70	38.13	3	False
0	9.06	Bee15	6.70	38.13	4	False
0	9.06	Bee15	6.70	38.13	5	False
0	10.08	Bee34	15.03	7.20	2	False
0	10.08	Bee34	15.03	7.20	3	False
0	10.08	Bee04	23.24	39.98	1	False
0	11.17	Bee33	19.75	14.13	1	False
0	11.73	Bee27	2.15	17.60	1	False
0	12.57	Bee17	21.41	13.07	0	False
0	13.03	Bee39	14.09	28.43	6	True
0	13.03	Bee07	26.51	13.76	0	True
0	13.03	Bee02	42.13	47.29	3	False
0	13.60	Bee04	21.93	36.48	1	True
0	14.17	Bee33	13.92	12.73	2	False
0	14.99	Bee33	13.16	12.71	3	False
0	15.52	Bee16	13.21	23.21	6	True
0	16.09	Bee37	30.33	14.12	0	False
0	16.51	Bee15	16.03	32.94	5	True
0	17.15	Bee36	46.82	39.44	2	False
0	17.15	Bee36	46.82	39.44	3	False
0	17.15	Bee36	46.82	39.44	4	False
0	17.15	Bee32	42.44	30.97	1	False
0	17.15	Bee09	25.04	48.30	3	False
0	17.15	Bee05	46.77	39.71	2	False
0	17.15	Bee05	46.77	39.71	3	False
0	17.15	Bee05	46.77	39.71	4	False
0	17.68	Bee27	10.57	13.63	2	False
0	18.24	Bee09	24.37	48.76	4	False
0	18.49	Bee25	34.10	11.04	1	False
0	18.49	Bee16	18.34	20.23	7	True
