Run	Time	Name	X_pos	Y_pos

0	0.00	Bee00	3.50	3.50
0	0.00	Bee01	41.50	27.50
0	0.00	Bee02	9.50	22.50
0	0.00	Bee03	31.50	22.50
0	0.00	Bee04	9.50	30.50
0	0.00	Bee05	22.50	23.50
0	0.00	Bee06	7.50	33.50
0	0.00	Bee07	35.50	41.50
0	0.00	Bee08	15.50	8.50
0	0.00	Bee09	28.50	29.50
0	0.00	Bee10	31.50	10.50
0	0.00	Bee11	13.50	29.50
0	0.00	Bee12	37.50	40.50
0	0.00	Bee13	2.50	17.50
0	0.00	Bee14	6.50	11.50
0	0.00	Bee15	5.50	4.50
0	0.00	Bee16	4.50	11.50
0	0.00	Bee17	32.50	9.50
0	0.00	Bee18	36.50	26.50
0	0.00	Bee19	0.50	23.50
0	0.00	Bee20	43.50	35.50
0	0.00	Bee21	15.50	0.50
0	0.00	Bee22	11.50	40.50
0	0.00	Bee23	19.50	11.50
0	0.00	Bee24	43.50	14.50
0	0.00	Bee25	7.50	41.50
0	0.00	Bee26	34.50	36.50
0	0.00	Bee27	45.50	22.50
0	0.00	Bee28	30.50	0.50
0	0.00	Bee29	45.50	9.50
0	1.00	Bee00	2.98	3.20
0	1.00	Bee01	40.94	27.29
0	1.00	Bee02	9.77	23.03
0	1.00	Bee03	32.09	22.41
0	1.00	Bee04	9.04	30.11
0	1.00	Bee05	22.21	22.98
0	1.00	Bee06	7.95	33.90
0	1.00	Bee07	36.09	41.58
0	1.00	Bee08	14.90	8.54
0	1.00	Bee09	28.23	28.97
0	1.00	Bee10	32.03	10.78
0	1.00	Bee11	13.20	30.02
0	1.00	Bee12	36.91	40.39
0	1.00	Bee13	2.01	17.84
0	1.00	Bee14	6.77	10.97
0	1.00	Bee15	5.37	5.08
0	1.00	Bee16	4.34	10.92
0	1.00	Bee17	32.07	9.92
0	1.00	Bee18	35.90	26.50
0	1.00	Bee19	0.92	23.08
0	1.00	Bee20	42.99	35.81
0	1.00	Bee21	16.10	0.54
0	1.00	Bee22	11.69	39.93
0	1.00	Bee23	19.20	12.02
0	1.00	Bee24	42.93	14.31
0	1.00	Bee25	7.75	42.04
0	1.00	Bee26	34.78	37.03
0	1.00	Bee27	45.14	22.02
0	1.00	Bee28	30.50	0.50
0	1.00	Bee29	46.05	9.27
0	2.00	Bee00	2.98	3.20
0	2.00	Bee01	40.94	27.29
0	2.00	Bee02	9.77	23.03
0	2.00	Bee03	32.09	22.41
0	2.00	Bee04	9.04	30.11
0	2.00	Bee05	22.21	22.98
0	2.00	Bee06	7.95	33.90
0	2.00	Bee07	36.09	41.58
0	2.00	Bee08	14.90	8.54
0	2.00	Bee09	28.23	28.97
0	2.00	Bee10	32.03	10.78
0	2.00	Bee11	13.20	30.02
0	2.00	Bee12	36.91	40.39
0	2.00	Bee13	2.01	17.84
0	2.00	Bee14	6.77	10.97
0	2.00	Bee15	5.37	5.08
0	2.00	Bee16	4.34	10.92
0	2.00	Bee17	32.07	9.92
0	2.00	Bee18	35.90	26.50
0	2.00	Bee19	0.92	23.08
0	2.00	Bee20	42.99	35.81
0	2.00	Bee21	16.10	0.54
0	2.00	Bee22	11.69	39.93
0	2.00	Bee23	19.20	12.02
0	2.00	Bee24	42.93	14.31
0	2.00	Bee25	7.75	42.04
0	2.00	Bee26	34.78	37.03
0	2.00	Bee27	45.14	22.02
0	2.00	Bee28	30.50	0.50
0	2.00	Bee29	46.05	9.27
0	3.00	Bee00	2.98	3.20
0	3.00	Bee01	40.94	27.29
0	3.00	Bee02	9.77	23.03
0	3.00	Bee03	32.09	22.41
0	3.00	Bee04	9.04	30.11
0	3.00	Bee05	22.21	22.98
0	3.00	Bee06	7.95	33.90
0	3.00	Bee07	36.09	41.58
0	3.00	Bee08	14.90	8.54
0	3.00	Bee09	28.23	28.97
0	3.00	Bee10	32.03	10.78
0	3.00	Bee11	13.20	30.02
0	3.00	Bee12	36.91	40.39
0	3.00	Bee13	2.01	17.84
0	3.00	Bee14	6.77	10.97
0	3.00	Bee15	5.37	5.08
0	3.00	Bee16	4.34	10.92
0	3.00	Bee17	32.07	9.92
0	3.00	Bee18	35.90	26.50
0	3.00	Bee19	0.92	23.08
0	3.00	Bee20	42.99	35.81
0	3.00	Bee21	16.10	0.54
