Run	Time	Name	X_pos	Y_pos	Collision	OnCue
0	0.02	Bee01	25.52	15.46	0	True
0	0.02	Bee14	28.49	23.46	0	True
0	0.02	Bee02	29.54	22.50	0	True
0	0.62	Bee16	21.01	13.65	0	True
0	0.95	Bee04	42.90	40.36	1	False
0	0.98	Bee03	42.40	41.53	1	False
0	1.28	Bee01	26.50	13.15	0	False
0	2.50	Bee03	42.60	41.45	2	False
0	2.90	Bee15	10.50	14.30	1	False
0	2.97	Bee09	11.66	14.53	1	False
0	3.08	Bee17	26.54	13.15	0	True
0	3.51	Bee15	10.50	14.31	2	False
0	3.58	Bee09	11.65	14.53	2	False
0	3.58	Bee02	36.65	22.62	0	False
0	3.63	Bee07	0.47	25.54	1	False
0	3.84	Bee07	0.47	25.54	2	False
0	4.71	Bee11	11.98	13.17	1	False
0	4.79	Bee09	11.65	14.52	3	False
0	5.56	Bee14	24.70	13.05	0	False
0	5.58	Bee18	0.80	26.69	1	False
0	6.32	Bee11	11.98	13.17	2	False
0	6.39	Bee00	35.15	31.19	0	True
0	6.51	Bee09	11.87	14.44	4	False
0	6.91	Bee12	35.65	19.62	0	True
0	7.81	Bee17	32.75	20.29	1	True
0	7.83	Bee12	34.08	20.56	1	True
0	8.07	Bee10	18.18	15.05	0	True
0	9.53	Bee16	14.05	30.05	0	False
0	10.00	Bee09	17.55	15.47	4	True
0	12.12	Bee11	21.15	13.62	2	True
0	12.27	Bee06	23.44	36.85	0	True
0	12.29	Bee07	0.45	25.55	3	False
0	12.50	Bee07	0.45	25.55	4	False
