Run	Time	Name	X_pos	Y_pos	Collision	OnCue
0	0.30	Bee03	32.09	22.41	0	True
0	0.30	Bee05	22.21	22.98	0	True
0	0.30	Bee09	28.23	28.97	0	True
0	0.30	Bee11	13.20	30.02	0	True
0	0.30	Bee17	32.07	9.92	1	False
0	0.30	Bee18	35.90	26.50	0	True
0	5.30	Bee01	31.54	23.87	0	True
0	5.30	Bee02	14.31	31.94	0	True
0	5.30	Bee03	41.97	20.84	0	False
0	5.30	Bee04	1.38	23.69	1	False
0	5.30	Bee04	1.38	23.69	2	False
0	5.30	Bee05	17.36	14.23	0	False
0	5.30	Bee11	8.20	38.68	0	False
0	5.30	Bee12	27.09	38.48	0	True
0	5.30	Bee22	14.78	30.42	0	True
0	5.30	Bee23	14.20	20.68	0	True
0	8.48	Bee02	17.20	37.61	0	False
0	8.82	Bee23	10.68	26.78	0	False
0	9.20	Bee09	20.15	13.11	0	False
0	9.37	Bee10	48.04	19.29	1	False
0	9.54	Bee15	1.21	23.09	1	False
0	11.15	Bee08	1.39	10.52	1	False
0	11.15	Bee20	24.38	46.99	1	False
0	11.47	Bee12	14.99	36.12	0	False
0	11.95	Bee01	19.04	19.33	1	True
0	11.95	Bee09	17.65	8.21	1	False
0	11.95	Bee12	14.04	35.94	1	False
0	11.95	Bee12	14.04	35.94	2	False
0	11.95	Bee25	13.65	35.53	1	False
0	12.25	Bee05	10.62	2.07	1	False
0	12.97	Bee13	11.18	23.61	0	True
0	12.97	Bee18	10.55	26.50	0	False
0	12.97	Bee20	24.23	47.98	2	False
0	12.97	Bee24	18.82	6.48	1	False
0	13.29	Bee27	29.51	1.28	1	False
0	13.80	Bee06	25.21	48.77	1	False
0	14.07	Bee05	10.99	1.68	2	False
0	14.32	Bee09	18.53	7.64	2	False
0	14.32	Bee25	13.07	33.54	1	True
0	14.58	Bee20	24.57	48.34	3	False
0	14.58	Bee20	24.57	48.34	4	False
0	14.58	Bee22	20.51	12.78	0	False
0	16.15	Bee04	3.66	27.07	3	False
0	16.15	Bee05	10.75	1.39	3	False
0	16.15	Bee18	4.19	26.50	1	False
0	16.15	Bee18	4.19	26.50	2	False
