Run	Time	Name	X_pos	Y_pos

0	0.02	Bee000	22.52	45.46
0	0.02	Bee001	39.54	4.50
0	0.02	Bee002	41.53	15.52
0	0.02	Bee003	36.51	0.54
0	0.02	Bee004	9.46	22.50
0	0.02	Bee005	41.46	47.51
0	0.02	Bee006	36.52	44.53
0	0.02	Bee007	15.48	41.47
0	0.02	Bee008	24.54	31.50
0	0.02	Bee009	36.53	11.47
0	0.02	Bee010	47.52	30.53
0	0.02	Bee011	30.52	36.46
0	0.02	Bee012	45.53	11.48
0	0.02	Bee013	16.52	34.53
0	0.02	Bee014	24.46	2.51
0	0.02	Bee015	32.51	3.54
0	0.02	Bee016	20.53	29.47
0	0.02	Bee017	17.52	20.47
0	0.02	Bee018	2.46	20.51
0	0.02	Bee019	21.46	5.51
0	0.02	Bee020	32.49	6.46
0	0.02	Bee021	48.46	14.51
0	0.02	Bee022	5.47	14.53
0	0.02	Bee023	18.54	24.51
0	0.02	Bee024	2.46	32.51
0	0.02	Bee025	39.47	49.48
0	0.02	Bee026	31.47	29.47
0	0.02	Bee027	34.51	48.46
0	0.02	Bee028	4.46	42.51
0	0.02	Bee029	49.54	10.50
0	0.02	Bee030	16.51	38.54
0	0.02	Bee031	10.46	25.51
0	0.02	Bee032	47.53	21.53
0	0.02	Bee033	13.46	2.49
0	0.02	Bee034	35.53	48.53
0	0.02	Bee035	32.54	7.49
0	0.02	Bee036	6.50	46.46
0	0.02	Bee037	42.52	33.54
0	0.02	Bee038	4.52	10.54
0	0.02	Bee039	25.47	1.52
0	0.02	Bee040	44.47	44.52
0	0.02	Bee041	48.47	28.47
0	0.02	Bee042	16.51	31.54
0	0.02	Bee043	25.49	47.46
0	0.02	Bee044	25.50	9.54
0	0.02	Bee045	28.50	0.54
0	0.02	Bee046	20.50	32.54
0	0.02	Bee047	45.46	10.51
0	0.02	Bee048	36.52	47.53
0	0.02	Bee049	0.54	24.52
0	0.02	Bee050	27.54	34.50
0	0.02	Bee051	19.50	47.46
0	0.02	Bee052	33.47	30.47
0	0.02	Bee053	32.49	39.54
0	0.02	Bee054	33.47	26.48
0	0.02	Bee055	1.47	5.47
