Run	Time	Name	X_pos	Y_pos	Collision	OnCue
0	0.30	Bee02	33.04	27.89	0	True
0	0.30	Bee04	11.27	47.05	1	False
0	0.30	Bee05	20.66	19.08	0	True
0	0.30	Bee10	24.40	19.91	0	True
0	0.30	Bee15	17.21	30.02	0	True
0	0.30	Bee19	35.09	19.39	0	True
0	0.30	Bee24	29.05	25.89	0	True
0	0.30	Bee25	27.67	22.92	0	True
0	0.30	Bee27	17.10	21.95	0	True
0	0.30	Bee28	35.14	29.02	0	True
0	0.30	Bee29	30.93	27.31	0	True
0	5.30	Bee10	22.66	10.06	0	False
0	5.30	Bee15	12.36	38.77	0	False
0	5.30	Bee18	33.54	21.87	0	True
0	5.30	Bee19	44.91	17.48	0	False
0	5.30	Bee22	35.73	31.39	0	True
0	5.30	Bee25	30.42	13.31	0	False
0	5.30	Bee27	10.41	29.38	0	False
0	5.95	Bee23	28.63	13.71	0	True
0	6.44	Bee19	47.15	17.04	1	False
0	6.50	Bee09	48.24	17.25	1	False
0	6.90	Bee17	7.76	30.62	1	False
0	7.73	Bee09	48.11	17.21	2	False
0	8.03	Bee22	32.76	35.97	0	False
0	8.14	Bee16	38.24	48.06	1	False
0	8.73	Bee02	20.13	38.72	0	False
0	8.73	Bee24	16.33	36.95	0	False
0	9.35	Bee16	38.19	48.16	2	False
0	9.73	Bee21	47.91	25.60	1	False
0	9.88	Bee08	22.04	12.78	0	True
0	10.46	Bee29	11.60	21.04	0	False
0	10.54	Bee16	38.26	48.31	3	False
0	10.61	Bee28	22.73	12.56	0	False
0	10.69	Bee05	26.03	39.15	0	False
0	10.69	Bee14	34.21	2.29	1	False
0	10.69	Bee25	33.39	2.95	1	False
0	11.64	Bee17	2.33	32.01	2	False
0	12.04	Bee14	34.12	2.33	2	False
0	12.04	Bee14	34.12	2.33	3	False
0	12.14	Bee16	38.45	48.29	4	False
0	12.29	Bee25	33.54	2.95	2	False
0	12.42	Bee05	26.93	42.49	1	False
0	13.69	Bee06	45.28	5.30	1	False
0	13.69	Bee16	38.48	48.37	5	False
0	13.69	Bee19	44.98	6.50	2	False
0	14.03	Bee14	34.16	2.43	4	False
0	14.21	Bee25	33.54	2.84	3	False
0	14.21	Bee25	33.54	2.84	4	False
0	14.29	Bee23	37.22	28.00	0	False
0	14.43	Bee08	14.01	17.05	0	False
0	14.62	Bee11	1.46	31.50	1	False
0	14.74	Bee18	15.80	15.42	0	False
0	15.02	Bee16	38.42	48.45	6	False
0	15.21	Bee14	34.11	2.51	5	False
0	15.21	Bee14	34.11	2.51	6	False
0	15.34	Bee04	3.88	46.17	2	False
0	15.40	Bee02	9.91	47.29	1	False
0	15.40	Bee12	2.74	45.67	1	False
0	15.47	Bee15	9.21	48.13	1	False
0	15.60	Bee25	33.66	2.77	5	False
0	15.60	Bee25	33.66	2.77	6	False
0	15.60	Bee25	33.66	2.77	7	False
0	16.23	Bee24	5.00	46.80	1	False
0	16.35	Bee11	1.62	31.08	2	False
0	16.35	Bee14	34.15	2.61	7	False
0	16.69	Bee04	3.81	46.23	3	False
0	16.75	Bee25	33.77	2.82	8	False
0	16.75	Bee25	33.77	2.82	9	False
0	16.75	Bee25	33.77	2.82	10	False
0	16.83	Bee09	37.05	28.25	2	True
0	17.15	Bee02	9.98	47.41	2	False
0	17.23	Bee15	9.17	47.97	2	False
0	17.78	Bee24	4.88	46.73	2	False
0	18.10	Bee03	4.41	44.97	1	False
0	18.25	Bee08	7.27	20.64	1	False
0	18.33	Bee01	6.52	19.87	1	False
0	18.47	Bee04	3.72	46.16	4	False
0	18.61	Bee15	9.26	47.88	3	False
0	18.73	Bee02	9.90	47.51	3	False
0	18.73	Bee02	9.90	47.51	4	False
0	19.47	Bee01	6.64	19.89	2	False
0	19.76	Bee24	4.83	46.82	3	False
0	19.90	Bee02	9.77	47.50	5	False
0	19.90	Bee21	41.63	9.46	2	False
0	19.97	Bee00	41.44	8.20	1	False
0	20.11	Bee26	45.38	46.87	1	False
0	20.55	Bee15	9.33	47.96	4	False
0	21.13	Bee08	8.06	22.81	2	False
0	21.92	Bee00	41.43	8.29	2	False
0	21.99	Bee02	9.47	46.39	6	False
0	21.99	Bee03	9.17	45.25	2	False
0	22.54	Bee07	13.90	2.79	1	False
0	22.54	Bee15	9.79	47.65	5	False
0	22.54	Bee28	14.29	1.66	1	False
0	22.84	Bee17	11.57	21.22	2	True
0	24.12	Bee08	11.06	22.77	2	True
0	24.29	Bee02	10.51	45.97	7	False
0	24.29	Bee22	10.94	44.94	1	False
0	24.36	Bee07	13.91	2.65	2	False
0	24.49	Bee09	26.21	39.08	2	False
0	25.88	Bee02	10.49	45.81	8	False
0	26.25	Bee22	10.90	45.09	2	False
0	26.25	Bee22	10.90	45.09	3	False
0	26.48	Bee29	15.29	15.87	0	True
0	27.23	Bee29	16.78	15.71	1	True
0	27.46	Bee14	48.97	8.70	8	False
0	27.96	Bee25	48.15	7.82	11	False
0	28.08	Bee12	12.30	32.00	1	True
0	28.40	Bee02	8.16	44.26	9	False
0	28.49	Bee04	7.56	45.03	5	False
0	29.05	Bee22	9.33	44.51	4	False
0	29.16	Bee17	21.08	12.90	2	False
0	29.16	Bee21	26.95	12.97	2	True
0	29.44	Bee03	13.64	34.22	2	True
0	29.44	Bee25	48.14	7.98	12	False
0	29.84	Bee02	7.99	44.36	10	False
0	29.84	Bee02	7.99	44.36	11	False
0	30.22	Bee19	35.45	19.47	2	True
0	30.59	Bee13	41.31	44.29	1	False
0	30.59	Bee26	42.36	44.28	2	False
0	30.77	Bee14	49.38	9.03	9	False
0	30.77	Bee25	48.41	8.22	13	False
0	30.98	Bee22	9.12	44.87	5	False
0	31.74	Bee02	8.05	44.53	12	False
0	33.17	Bee02	8.25	44.56	13	False
0	33.92	Bee29	17.79	25.18	2	True
0	34.01	Bee03	17.07	25.74	3	True
0	34.49	Bee04	12.74	48.78	6	False
0	34.49	Bee09	13.53	47.93	3	False
0	34.76	Bee01	1.85	46.25	3	False
0	34.76	Bee24	1.56	47.27	4	False
0	35.12	Bee21	15.36	15.75	2	False
0	35.23	Bee22	12.98	46.83	6	False
0	35.75	Bee04	12.79	48.63	7	False
0	36.20	Bee01	1.71	46.30	4	False
0	36.29	Bee09	13.58	47.77	4	False
0	37.07	Bee08	36.94	22.37	2	False
0	37.16	Bee04	12.98	48.60	8	False
