Run	Time	Name	X_pos	Y_pos	Collision	OnCue
0	0.02	Bee01	25.52	15.46	0	True
0	0.02	Bee14	28.49	23.46	0	True
0	0.62	Bee16	21.01	13.65	0	True
0	0.98	Bee03	42.40	41.54	1	False
0	1.28	Bee01	26.50	13.15	0	False
0	1.99	Bee03	42.39	41.54	2	False
0	2.90	Bee15	10.50	14.30	1	False
0	2.97	Bee09	11.66	14.53	1	False
0	3.40	Bee03	42.40	41.53	3	False
0	4.43	Bee07	0.47	25.52	1	False
0	5.01	Bee03	42.40	41.53	4	False
0	5.56	Bee14	24.70	13.05	0	False
0	6.39	Bee00	35.15	31.19	0	True
0	6.91	Bee12	35.65	19.62	0	True
0	7.82	Bee12	34.10	20.55	1	True
