Run	Time	Name	X_pos	Y_pos	Collision	OnCue
0	0.02	Bee01	25.52	15.46	0	True
0	0.02	Bee14	28.49	23.46	0	True
0	0.02	Bee02	29.54	22.50	0	True
0	0.63	Bee16	21.01	13.65	0	True
0	0.95	Bee04	42.90	40.36	1	False
0	0.98	Bee03	42.40	41.54	1	False
0	1.02	Bee07	0.47	25.53	1	False
0	1.28	Bee01	26.50	13.14	0	False
0	1.79	Bee03	42.39	41.53	2	False
0	1.84	Bee07	0.47	25.54	2	False
0	1.96	Bee04	42.89	40.36	2	False
0	2.07	Bee03	42.31	41.41	3	False
0	2.90	Bee15	10.50	14.30	1	False
0	2.97	Bee09	11.65	14.53	1	False
0	3.08	Bee17	26.54	13.15	0	True
0	3.58	Bee02	36.65	22.62	0	False
0	3.68	Bee03	42.32	41.40	4	False
0	3.91	Bee15	10.50	14.30	2	False
0	4.36	Bee09	11.60	14.72	2	False
0	4.51	Bee15	10.77	14.39	3	False
0	4.93	Bee09	11.45	14.98	3	False
0	4.93	Bee11	11.62	13.44	1	False
0	4.93	Bee11	11.62	13.44	2	False
0	5.58	Bee14	24.68	13.01	0	False
0	6.23	Bee15	10.79	14.69	4	False
0	6.23	Bee15	10.79	14.69	5	False
0	6.45	Bee00	35.04	31.16	0	True
0	6.45	Bee11	11.19	13.41	3	False
0	6.92	Bee12	35.64	19.63	0	True
0	7.71	Bee13	10.03	29.48	1	False
0	7.71	Bee18	9.27	28.78	1	False
0	7.92	Bee15	11.68	15.64	6	False
0	8.10	Bee10	18.24	15.09	0	True
0	8.10	Bee12	33.61	20.84	1	True
0	8.10	Bee12	33.61	20.84	2	True
0	8.10	Bee17	33.13	20.73	1	True
0	8.10	Bee17	33.13	20.73	2	True
0	8.84	Bee13	10.13	29.29	2	False
0	9.07	Bee18	9.35	28.96	2	False
0	9.35	Bee13	10.18	29.08	3	False
0	9.35	Bee09	14.52	19.26	3	True
0	9.63	Bee16	13.98	30.23	0	False
0	9.63	Bee04	33.67	33.12	2	True
0	9.63	Bee18	9.47	29.12	3	False
0	9.63	Bee18	9.47	29.12	4	False
0	10.25	Bee18	9.64	29.25	5	False
0	10.25	Bee18	9.64	29.25	6	False
0	13.13	Bee13	13.95	29.67	3	True
0	13.71	Bee18	9.01	33.27	7	False
0	13.97	Bee00	20.52	27.27	1	True
0	13.97	Bee09	19.89	26.77	4	True
0	13.97	Bee09	19.89	26.77	5	True
0	18.64	Bee05	25.98	36.83	0	True
0	19.06	Bee10	36.83	26.70	0	False
0	21.37	Bee13	30.23	32.23	4	True
0	21.37	Bee05	30.19	33.34	1	True
0	21.67	Bee04	14.72	18.25	2	False
0	22.48	Bee08	15.76	17.27	0	True
0	24.49	Bee03	32.04	3.66	5	False
0	24.62	Bee15	32.18	2.65	7	False
0	26.57	Bee03	32.23	3.61	6	False
0	29.34	Bee03	32.48	1.26	7	False
0	29.93	Bee08	15.13	32.15	0	False
0	31.08	Bee03	32.69	1.22	8	False
0	31.27	Bee19	17.65	38.49	1	False
0	31.27	Bee19	17.65	38.49	2	False
