Run	Time	Name	X_pos	Y_pos

0	0.02	Bee000	13.54	46.49
0	0.02	Bee001	8.50	30.46
0	0.02	Bee002	7.52	41.47
0	0.02	Bee003	22.47	12.48
0	0.02	Bee004	1.49	13.46
0	0.02	Bee005	29.52	18.46
0	0.02	Bee006	39.54	39.51
0	0.02	Bee007	11.48	6.54
0	0.02	Bee008	43.54	15.48
0	0.02	Bee009	30.54	3.49
0	0.02	Bee010	30.46	19.50
0	0.02	Bee011	39.49	49.46
0	0.02	Bee012	16.47	33.47
0	0.02	Bee013	47.51	20.46
0	0.02	Bee014	11.47	37.47
0	0.02	Bee015	49.51	15.54
0	0.02	Bee016	14.47	24.52
0	0.02	Bee017	0.46	28.49
0	0.02	Bee018	8.48	18.53
0	0.02	Bee019	14.51	2.46
0	0.02	Bee020	42.49	0.46
0	0.02	Bee021	32.52	22.47
0	0.02	Bee022	5.50	32.46
0	0.02	Bee023	43.51	31.46
0	0.02	Bee024	22.51	24.54
0	0.02	Bee025	7.51	27.54
0	0.02	Bee026	44.46	45.52
0	0.02	Bee027	14.53	40.53
0	0.02	Bee028	24.53	24.53
0	0.02	Bee029	6.49	34.46
0	0.02	Bee030	22.50	10.54
0	0.02	Bee031	41.53	18.48
0	0.02	Bee032	20.46	45.51
0	0.02	Bee033	47.48	4.46
0	0.02	Bee034	25.52	34.54
0	0.02	Bee035	41.50	20.54
0	0.02	Bee036	45.50	30.46
0	0.02	Bee037	29.54	33.51
0	0.02	Bee038	14.52	11.46
0	0.02	Bee039	1.49	41.54
0	0.02	Bee040	13.53	1.53
0	0.02	Bee041	15.47	11.53
0	0.02	Bee042	7.53	44.52
0	0.02	Bee043	20.52	34.46
0	0.02	Bee044	21.47	39.53
0	0.02	Bee045	6.46	48.49
0	0.02	Bee046	15.48	26.54
0	0.02	Bee047	13.46	43.48
0	0.02	Bee048	2.54	4.49
0	0.02	Bee049	30.48	35.47
0	0.02	Bee050	15.49	46.54
0	0.02	Bee051	14.48	49.46
0	0.02	Bee052	3.53	5.53
0	0.02	Bee053	30.52	14.53
0	0.02	Bee054	24.48	47.46
0	0.02	Bee055	10.53	35.53
0	0.02	Bee056	46.54	47.48
0	0.02	Bee057	29.52	10.53
0	0.02	Bee058	18.52	3.54
0	0.02	Bee059	4.51	34.46
0	0.02	Bee060	42.52	2.46
0	0.02	Bee061	3.47	42.48
0	0.02	Bee062	10.54	45.52
0	0.02	Bee063	34.52	36.53
0	0.02	Bee064	42.47	5.53
0	0.02	Bee065	37.53	2.52
0	0.02	Bee066	35.47	24.48
0	0.02	Bee067	47.52	14.46
0	0.02	Bee068	15.48	31.46
0	0.02	Bee069	46.52	43.53
0	0.02	Bee070	8.51	20.54
0	0.02	Bee071	39.47	0.47
0	0.02	Bee072	29.53	20.47
0	0.02	Bee073	19.46	6.50
0	0.02	Bee074	15.47	20.47
0	0.02	Bee075	44.46	40.50
0	0.02	Bee076	48.53	49.48
0	0.02	Bee077	25.53	1.47
0	0.02	Bee078	35.51	40.54
0	0.02	Bee079	33.49	7.54
0	0.02	Bee080	34.51	27.54
0	0.02	Bee081	3.50	31.54
0	0.02	Bee082	46.54	13.49
0	0.02	Bee083	42.49	15.54
0	0.02	Bee084	18.52	16.53
0	0.02	Bee085	24.49	5.46
0	0.02	Bee086	32.48	45.54
0	0.02	Bee087	2.47	1.47
0	0.02	Bee088	39.54	48.48
0	0.02	Bee089	36.54	24.48
0	0.02	Bee090	6.51	47.54
0	0.02	Bee091	17.51	30.54
0	0.02	Bee092	28.54	30.49
0	0.02	Bee093	25.48	16.47
0	0.02	Bee094	48.46	8.51
0	0.02	Bee095	25.49	13.54
0	0.02	Bee096	32.50	19.46
0	0.02	Bee097	41.54	35.51
0	0.02	Bee098	40.53	38.47
0	0.02	Bee099	19.46	18.50
0	1.00	Bee000	14.50	46.32
0	1.00	Bee001	8.50	29.50
0	1.00	Bee002	8.50	39.77
0	1.00	Bee003	21.81	12.07
0	1.00	Bee004	1.19	11.53
0	1.00	Bee005	30.35	16.82
0	1.00	Bee006	40.19	39.66
0	1.00	Bee007	10.65	8.31
0	1.00	Bee008	45.33	14.69
0	1.00	Bee009	32.40	2.88
0	1.00	Bee010	30.46	19.50
0	1.00	Bee011	39.49	49.46
0	1.00	Bee012	14.95	32.24
0	1.00	Bee013	48.25	18.65
0	1.00	Bee014	10.92	36.92
0	1.00	Bee015	49.51	15.54
0	1.00	Bee016	12.86	25.65
0	1.00	Bee017	0.46	28.49
0	1.00	Bee018	7.50	20.23
0	1.00	Bee019	14.61	1.80
0	1.00	Bee020	42.49	0.46
0	1.00	Bee021	33.70	20.90
0	1.00	Bee022	5.71	30.51
0	1.00	Bee023	44.22	29.63
0	1.00	Bee024	23.05	26.42
0	1.00	Bee025	7.84	28.43
0	1.00	Bee026	42.70	46.38
0	1.00	Bee027	16.03	41.79
0	1.00	Bee028	25.89	25.94
0	1.00	Bee029	6.16	33.25
0	1.00	Bee030	22.54	11.21
0	1.00	Bee031	42.55	17.92
0	1.00	Bee032	18.60	46.12
0	1.00	Bee033	46.59	2.72
0	1.00	Bee034	26.41	36.28
0	1.00	Bee035	41.53	22.50
0	1.00	Bee036	45.64	28.51
