Run	Time	Name	X_pos	Y_pos	State	Delay	OnCue
0	0.95	Bee04	42.90	40.36	0	0	False
0	0.98	Bee03	42.40	41.54	0	0	False
0	1.02	Bee07	0.47	25.53	0	0	False
0	1.97	Bee04	42.88	40.37	0	0	False
0	2.59	Bee03	42.40	41.54	0	0	False
0	2.90	Bee15	10.50	14.30	0	0	False
0	2.97	Bee09	11.66	14.53	0	0	False
0	2.98	Bee04	42.89	40.38	0	0	False
0	3.80	Bee03	42.40	41.53	0	0	False
0	4.71	Bee15	10.51	14.30	0	0	False
0	4.71	Bee11	11.98	13.17	0	0	False
0	4.77	Bee09	11.66	14.53	0	0	False
0	5.98	Bee09	11.65	14.52	0	0	False
0	6.12	Bee15	10.51	14.30	0	0	False
0	6.99	Bee09	11.65	14.52	0	0	False
0	7.50	Bee18	8.77	30.21	0	0	False
0	7.81	Bee17	32.75	20.29	0	55.91531	True
0	7.82	Bee12	34.10	20.55	0	50.9434	True
0	7.92	Bee15	10.51	14.30	0	0	False
0	11.44	Bee15	9.83	10.54	0	0	False
0	11.46	Bee19	10.12	9.40	0	0	False
