Run	Time	Name	X_pos	Y_pos	State	Delay	OnCue
0	0.95	Bee04	42.90	40.36	0	0	False
0	0.98	Bee03	42.40	41.53	0	0	False
0	2.50	Bee03	42.60	41.45	0	0	False
0	2.90	Bee15	10.50	14.30	0	0	False
0	2.97	Bee09	11.66	14.53	0	0	False
0	3.51	Bee15	10.50	14.31	0	0	False
0	3.58	Bee09	11.65	14.53	0	0	False
0	3.63	Bee07	0.47	25.54	0	0	False
0	3.84	Bee07	0.47	25.54	0	0	False
0	4.71	Bee11	11.98	13.17	0	0	False
0	4.79	Bee09	11.65	14.52	0	0	False
0	5.58	Bee18	0.80	26.69	0	0	False
0	6.32	Bee11	11.98	13.17	0	0	False
0	6.51	Bee09	11.87	14.44	0	0	False
0	7.81	Bee17	32.75	20.29	0	55.91531	True
0	7.83	Bee12	34.08	20.56	0	50.9434	True
0	12.29	Bee07	0.45	25.55	0	0	False
0	12.50	Bee07	0.45	25.55	0	0	False
