Run	Time	Name	X_pos	Y_pos	Collision	OnCue
0	0.02	Bee01	25.52	15.46	0	True
0	0.02	Bee14	28.49	23.46	0	True
0	0.02	Bee02	29.54	22.50	0	True
0	0.63	Bee16	21.01	13.65	0	True
0	0.95	Bee04	42.90	40.36	1	False
0	0.98	Bee03	42.40	41.54	1	False
0	1.28	Bee01	26.50	13.15	0	False
0	1.96	Bee04	42.90	40.36	2	False
0	2.19	Bee03	42.40	41.54	2	False
0	2.90	Bee15	10.50	14.30	1	False
0	2.97	Bee09	11.66	14.53	1	False
0	3.09	Bee17	26.55	13.16	0	True
0	3.58	Bee02	36.65	22.62	0	False
0	4.17	Bee09	11.65	14.53	2	False
0	4.23	Bee07	0.46	25.54	1	False
0	4.71	Bee15	10.51	14.30	2	False
0	4.71	Bee11	11.98	13.17	1	False
0	5.56	Bee14	24.70	13.05	0	False
0	5.72	Bee15	10.51	14.31	3	False
0	5.82	Bee09	11.71	14.46	3	False
0	5.99	Bee11	12.00	13.32	2	False
0	6.24	Bee07	0.46	25.54	2	False
0	6.39	Bee00	35.15	31.19	0	True
0	6.91	Bee12	35.65	19.62	0	True
0	7.23	Bee09	11.71	14.46	4	False
0	7.23	Bee09	11.71	14.46	5	False
0	7.53	Bee15	10.51	14.30	4	False
0	7.81	Bee17	32.75	20.29	1	True
0	7.82	Bee12	34.10	20.55	1	True
0	8.07	Bee10	18.18	15.05	0	True
0	8.53	Bee15	10.51	14.30	5	False
0	8.84	Bee09	11.70	14.46	6	False
0	9.53	Bee16	14.05	30.05	0	False
0	9.74	Bee15	10.52	14.30	6	False
0	10.24	Bee09	11.70	14.46	7	False
0	10.43	Bee03	35.38	30.75	2	True
0	10.75	Bee15	10.52	14.29	7	False
0	11.25	Bee09	11.69	14.46	8	False
