Run	Time	Name	X_pos	Y_pos	Collision	OnCue
0	0.02	Bee005	29.52	18.46	0	True
0	0.02	Bee010	30.46	19.50	0	True
0	0.02	Bee010	30.46	19.50	1	True
0	0.02	Bee011	39.49	49.46	1	False
0	0.02	Bee011	39.49	49.46	2	False
0	0.02	Bee012	16.47	33.47	0	True
0	0.02	Bee016	14.47	24.52	0	True
0	0.02	Bee021	32.52	22.47	0	True
0	0.02	Bee024	22.51	24.54	0	True
0	0.02	Bee028	24.53	24.53	0	True
0	0.02	Bee034	25.52	34.54	0	True
0	0.02	Bee037	29.54	33.51	0	True
0	0.02	Bee038	14.52	11.46	1	False
0	0.02	Bee040	13.53	1.53	1	False
0	0.02	Bee041	15.47	11.53	1	False
0	0.02	Bee043	20.52	34.46	0	True
0	0.02	Bee045	6.46	48.49	1	False
0	0.02	Bee046	15.48	26.54	0	True
0	0.02	Bee049	30.48	35.47	0	True
0	0.02	Bee053	30.52	14.53	0	True
0	0.02	Bee066	35.47	24.48	0	True
0	0.02	Bee068	15.48	31.46	0	True
0	0.02	Bee072	29.53	20.47	0	True
0	0.02	Bee072	29.53	20.47	1	True
0	0.02	Bee074	15.47	20.47	0	True
0	0.02	Bee080	34.51	27.54	0	True
0	0.02	Bee084	18.52	16.53	0	True
0	0.02	Bee089	36.54	24.48	0	True
0	0.02	Bee090	6.51	47.54	1	False
0	0.02	Bee091	17.51	30.54	0	True
0	0.02	Bee092	28.54	30.49	0	True
0	0.02	Bee093	25.48	16.47	0	True
0	0.02	Bee095	25.49	13.54	0	True
0	0.02	Bee096	32.50	19.46	0	True
0	0.02	Bee099	19.46	18.50	0	True
0	0.35	Bee006	40.19	39.66	1	False
0	0.35	Bee012	15.95	33.06	0	False
0	0.35	Bee019	14.61	1.80	1	False
0	0.35	Bee030	22.54	11.21	1	False
0	0.35	Bee082	47.16	13.25	1	False
0	0.35	Bee089	37.14	24.20	0	False
0	0.40	Bee060	42.86	1.79	1	False
0	0.41	Bee003	21.81	12.07	1	False
0	0.41	Bee014	10.92	36.92	1	False
0	0.41	Bee014	10.92	36.92	2	False
