Run	Time	Name	X_pos	Y_pos	Collision	OnCue
0	0.00	Bee14	28.49	23.46	0	True
0	0.00	Bee02	29.54	22.50	0	True
0	0.00	Bee01	25.52	15.46	0	True
0	0.61	Bee16	21.01	13.65	0	True
0	0.95	Bee04	42.90	40.39	1	False
0	0.95	Bee03	42.40	41.56	1	False
0	1.26	Bee01	26.50	13.15	0	False
0	1.36	Bee03	42.40	41.55	2	False
0	3.06	Bee17	26.54	13.15	0	True
0	3.06	Bee09	11.43	14.57	1	False
0	3.59	Bee02	36.72	22.63	0	False
0	4.80	Bee11	11.81	13.30	1	False
0	5.58	Bee14	24.67	12.98	0	False
0	6.40	Bee00	35.09	31.17	0	True
0	6.93	Bee12	35.58	19.66	0	True
0	7.92	Bee17	32.92	20.49	1	True
0	7.92	Bee12	33.89	20.68	1	True
0	8.42	Bee18	9.75	24.97	1	False
0	8.42	Bee10	18.82	15.45	0	True
0	8.93	Bee15	10.50	26.39	1	False
0	9.10	Bee13	9.40	26.73	1	False
0	9.53	Bee16	14.04	30.08	0	False
0	9.90	Bee06	21.94	36.61	0	True
0	10.02	Bee11	14.03	20.17	1	True
0	12.52	Bee19	14.93	18.57	0	True
0	13.34	Bee13	13.28	22.25	1	True
0	13.72	Bee13	13.79	21.67	2	True
0	13.91	Bee19	14.71	21.36	1	True
0	17.46	Bee16	7.84	44.69	1	False
0	17.87	Bee00	12.95	25.24	0	False
0	18.16	Bee11	19.05	35.67	1	False
0	19.08	Bee10	36.90	26.74	0	False
0	21.73	Bee06	31.20	14.83	0	False
0	23.45	Bee02	36.68	23.02	0	True
0	24.08	Bee05	21.60	47.55	1	False
0	24.26	Bee11	22.81	47.28	2	False
0	26.49	Bee11	24.91	48.50	3	False
0	27.48	Bee15	25.45	49.36	2	False
0	28.36	Bee15	25.45	49.17	3	False
0	29.19	Bee13	13.97	21.85	3	True
0	35.06	Bee14	25.87	13.11	0	True
0	35.43	Bee02	12.78	24.67	0	False
0	35.86	Bee08	18.07	15.17	0	True
0	36.00	Bee11	31.37	35.01	3	True
0	40.39	Bee03	27.89	36.56	2	True
0	42.40	Bee11	36.90	23.47	3	False
0	44.77	Bee07	26.22	13.21	0	True
0	44.77	Bee03	19.77	33.32	3	True
0	44.93	Bee08	18.51	33.31	1	True
0	45.09	Bee18	13.40	20.86	2	False
0	45.69	Bee14	34.26	32.63	0	False
0	45.69	Bee11	39.74	17.55	4	False
0	45.69	Bee06	40.79	17.26	1	False
0	46.85	Bee18	13.58	20.65	3	False
0	49.05	Bee18	13.76	20.83	3	True
0	49.05	Bee18	13.76	20.83	4	True
0	49.05	Bee18	13.76	20.83	5	True
0	50.86	Bee06	34.59	18.27	1	True
0	52.57	Bee18	13.92	20.66	6	True
0	56.54	Bee13	14.11	21.69	4	True
0	56.54	Bee13	14.11	21.69	5	True
0	56.54	Bee13	14.11	21.69	6	True
0	56.73	Bee07	23.70	37.00	0	False
0	57.43	Bee10	36.75	24.94	0	True
0	58.16	Bee18	14.09	20.81	7	True
0	58.16	Bee18	14.09	20.81	8	True
0	59.38	Bee19	17.16	21.52	2	True
0	59.38	Bee06	17.77	21.01	2	True
0	59.38	Bee06	17.77	21.01	3	True
0	60.09	Bee10	32.53	21.70	1	True
0	62.22	Bee00	48.29	23.86	1	False
0	62.50	Bee12	33.79	20.47	2	True
0	62.50	Bee12	33.79	20.47	3	True
0	62.50	Bee05	48.98	24.63	2	False
0	62.82	Bee00	48.47	23.99	2	False
0	62.82	Bee00	48.47	23.99	3	False
0	63.35	Bee00	48.61	24.14	4	False
0	63.35	Bee00	48.61	24.14	5	False
0	64.14	Bee05	48.75	24.65	3	False
0	64.14	Bee05	48.75	24.65	4	False
0	64.14	Bee00	48.68	24.36	6	False
0	64.14	Bee00	48.68	24.36	7	False
0	64.14	Bee00	48.68	24.36	8	False
0	64.14	Bee00	48.68	24.36	9	False
0	65.16	Bee05	48.55	24.79	5	False
0	65.91	Bee17	32.75	20.62	2	True
0	66.23	Bee05	48.46	25.07	6	False
0	71.19	Bee01	23.57	49.46	1	False
0	73.21	Bee11	28.33	13.58	4	True
0	78.58	Bee18	21.15	13.51	8	False
0	79.94	Bee00	33.91	17.11	9	True
0	84.09	Bee00	26.64	13.13	9	False
0	84.66	Bee11	28.71	36.47	4	False
0	84.78	Bee14	33.93	32.79	0	True
0	91.70	Bee16	13.04	24.75	1	True
0	91.70	Bee14	20.12	32.01	1	True
0	93.74	Bee16	15.80	21.73	2	True
0	94.87	Bee08	18.69	33.29	2	True
0	96.49	Bee15	36.51	22.16	3	True
0	96.49	Bee13	29.78	36.15	6	False
0	98.16	Bee13	32.24	38.42	7	False
0	98.16	Bee09	33.13	37.76	2	False
0	100.63	Bee03	19.84	33.14	4	True
0	101.51	Bee04	34.37	17.84	1	True
0	101.63	Bee09	30.61	35.35	2	True
0	107.49	Bee15	19.08	35.57	3	False
0	110.69	Bee09	17.51	22.83	3	True
0	111.61	Bee01	22.09	36.60	1	True
0	113.40	Bee04	14.30	30.60	1	False
0	117.14	Bee12	33.58	20.59	4	True
0	117.14	Bee12	33.58	20.59	5	True
0	117.57	Bee11	29.95	35.85	4	True
0	118.73	Bee19	17.14	21.71	3	True
0	118.73	Bee19	17.14	21.71	4	True
0	119.13	Bee06	17.83	21.23	4	True
0	119.13	Bee06	17.83	21.23	5	True
0	120.86	Bee18	32.48	15.78	8	True
0	122.22	Bee11	30.49	26.58	5	True
0	122.22	Bee10	29.44	26.05	2	True
0	122.71	Bee18	32.29	19.47	9	True
0	122.98	Bee01	20.08	13.94	1	False
0	124.52	Bee17	32.63	20.43	3	True
0	126.60	Bee13	36.73	23.22	7	True
