Run	Time	Name	X_pos	Y_pos

0	0.00	Bee19	16.50	1.50
0	0.00	Bee18	1.50	26.50
0	0.00	Bee17	22.50	8.50
0	0.00	Bee16	21.50	12.50
0	0.00	Bee15	10.50	8.50
0	0.00	Bee14	28.50	23.50
0	0.00	Bee13	13.50	44.50
0	0.00	Bee12	47.50	12.50
0	0.00	Bee11	19.50	7.50
0	0.00	Bee10	4.50	6.50
0	0.00	Bee09	17.50	13.50
0	0.00	Bee08	31.50	9.50
0	0.00	Bee07	0.50	25.50
0	0.00	Bee06	16.50	49.50
0	0.00	Bee05	13.50	45.50
0	0.00	Bee04	42.50	38.50
0	0.00	Bee03	42.50	43.50
0	0.00	Bee02	29.50	22.50
0	0.00	Bee01	25.50	15.50
0	0.00	Bee00	47.50	34.50
0	1.00	Bee19	16.32	0.78
0	1.00	Bee18	0.78	26.71
0	1.00	Bee17	23.83	10.03
0	1.00	Bee16	20.71	14.37
0	1.00	Bee15	10.50	10.53
0	1.00	Bee14	27.80	21.59
0	1.00	Bee13	13.04	42.52
0	1.00	Bee12	45.76	13.55
0	1.00	Bee11	17.88	8.72
0	1.00	Bee10	6.22	7.58
0	1.00	Bee09	15.50	13.85
0	1.00	Bee08	29.76	8.45
0	1.00	Bee07	0.47	25.53
0	1.00	Bee06	16.47	49.52
0	1.00	Bee05	12.11	46.99
0	1.00	Bee04	42.90	40.39
0	1.00	Bee03	42.40	41.56
0	1.00	Bee02	31.53	22.54
0	1.00	Bee01	26.29	13.63
0	1.00	Bee00	45.54	33.97
0	2.00	Bee19	16.31	0.77
0	2.00	Bee18	0.78	26.71
0	2.00	Bee17	25.15	11.54
0	2.00	Bee16	19.92	16.21
0	2.00	Bee15	10.50	12.53
0	2.00	Bee14	27.12	19.71
0	2.00	Bee13	12.59	40.57
0	2.00	Bee12	44.04	14.58
0	2.00	Bee11	16.28	9.93
0	2.00	Bee10	7.92	8.64
0	2.00	Bee09	13.53	14.20
0	2.00	Bee08	28.04	7.42
0	2.00	Bee07	0.47	25.53
0	2.00	Bee06	16.46	49.52
0	2.00	Bee05	10.75	48.45
0	2.00	Bee04	42.90	40.39
0	2.00	Bee03	42.40	41.55
0	2.00	Bee02	33.53	22.57
0	2.00	Bee01	27.08	11.79
0	2.00	Bee00	43.60	33.46
0	3.00	Bee19	16.31	0.77
0	3.00	Bee18	0.78	26.71
0	3.00	Bee17	26.31	12.88
0	3.00	Bee16	19.23	17.84
0	3.00	Bee15	10.50	14.31
0	3.00	Bee14	26.51	18.04
0	3.00	Bee13	12.19	38.84
0	3.00	Bee12	42.52	15.49
0	3.00	Bee11	14.86	10.99
0	3.00	Bee10	9.42	9.58
0	3.00	Bee09	11.78	14.51
0	3.00	Bee08	26.52	6.51
0	3.00	Bee07	0.46	25.54
0	3.00	Bee06	16.46	49.52
0	3.00	Bee05	10.21	49.02
0	3.00	Bee04	44.29	40.84
0	3.00	Bee03	42.40	41.55
0	3.00	Bee02	35.31	22.60
0	3.00	Bee01	27.77	10.16
0	3.00	Bee00	41.89	33.00
0	4.00	Bee19	16.25	1.54
0	4.00	Bee18	1.02	26.67
0	4.00	Bee17	27.74	14.53
0	4.00	Bee16	18.38	19.86
0	4.00	Bee15	10.50	16.49
0	4.00	Bee14	25.77	15.99
0	4.00	Bee13	11.70	36.71
0	4.00	Bee12	40.65	16.62
0	4.00	Bee11	13.12	12.31
0	4.00	Bee10	11.28	10.73
0	4.00	Bee09	11.43	14.57
0	4.00	Bee08	24.65	5.38
0	4.00	Bee07	0.46	25.54
0	4.00	Bee06	17.31	47.51
0	4.00	Bee05	10.00	48.92
0	4.00	Bee04	46.37	41.51
0	4.00	Bee03	43.61	42.10
0	4.00	Bee02	37.49	22.64
0	4.00	Bee01	28.62	8.14
0	4.00	Bee00	39.78	32.43
0	5.00	Bee19	16.09	3.55
0	5.00	Bee18	3.00	26.28
0	5.00	Bee17	29.07	16.05
0	5.00	Bee16	17.59	21.71
0	5.00	Bee15	10.50	18.51
0	5.00	Bee14	25.08	14.09
0	5.00	Bee13	11.25	34.75
0	5.00	Bee12	38.92	17.66
0	5.00	Bee11	11.81	13.30
0	5.00	Bee10	12.99	11.80
0	5.00	Bee09	11.43	14.57
0	5.00	Bee08	22.92	4.34
0	5.00	Bee07	0.46	25.54
0	5.00	Bee06	18.10	45.65
0	5.00	Bee05	8.20	48.02
0	5.00	Bee04	48.29	42.14
0	5.00	Bee03	45.45	42.93
0	5.00	Bee02	39.51	22.67
0	5.00	Bee01	29.41	6.29
0	5.00	Bee00	37.83	31.91
0	6.00	Bee19	15.94	5.57
0	6.00	Bee18	4.99	25.90
0	6.00	Bee17	30.40	17.58
0	6.00	Bee16	16.80	23.58
0	6.00	Bee15	10.50	20.53
0	6.00	Bee14	24.38	12.19
0	6.00	Bee13	10.79	32.77
0	6.00	Bee12	37.18	18.70
0	6.00	Bee11	11.81	13.30
0	6.00	Bee10	14.71	12.88
0	6.00	Bee09	11.56	16.59
0	6.00	Bee08	21.18	3.30
0	6.00	Bee07	0.46	25.54
0	6.00	Bee06	18.90	43.79
0	6.00	Bee05	6.38	47.12
0	6.00	Bee04	49.18	42.43
0	6.00	Bee03	47.30	43.76
0	6.00	Bee02	41.53	22.71
0	6.00	Bee01	30.20	4.42
0	6.00	Bee00	35.88	31.39
0	7.00	Bee19	15.79	7.44
0	7.00	Bee18	6.83	25.54
0	7.00	Bee17	31.63	19.00
0	7.00	Bee16	16.07	25.30
0	7.00	Bee15	10.50	22.41
0	7.00	Bee14	23.74	10.43
0	7.00	Bee13	10.37	30.95
0	7.00	Bee12	35.58	19.66
0	7.00	Bee11	12.13	14.31
0	7.00	Bee10	16.30	13.87
0	7.00	Bee09	11.68	18.46
0	7.00	Bee08	19.58	2.34
0	7.00	Bee07	0.41	25.29
0	7.00	Bee06	19.63	42.06
0	7.00	Bee05	4.70	46.28
0	7.00	Bee04	49.18	42.43
0	7.00	Bee03	49.01	44.54
0	7.00	Bee02	43.41	22.74
0	7.00	Bee01	30.93	2.70
0	7.00	Bee00	34.06	30.90
0	8.00	Bee19	15.64	9.41
0	8.00	Bee18	8.76	25.16
0	8.00	Bee17	32.92	20.49
0	8.00	Bee16	15.29	27.12
0	8.00	Bee15	10.50	24.38
0	8.00	Bee14	23.07	8.58
0	8.00	Bee13	9.93	29.02
0	8.00	Bee12	33.89	20.68
0	8.00	Bee11	12.74	16.19
0	8.00	Bee10	17.97	14.92
0	8.00	Bee09	11.81	20.43
0	8.00	Bee08	17.89	1.32
0	8.00	Bee07	0.54	25.11
0	8.00	Bee06	20.40	40.25
0	8.00	Bee05	2.94	45.41
0	8.00	Bee04	48.73	43.44
0	8.00	Bee03	49.52	44.68
0	8.00	Bee02	45.38	22.78
0	8.00	Bee01	31.71	0.88
0	8.00	Bee00	32.16	30.39
0	9.00	Bee19	15.48	11.41
0	9.00	Bee18	9.75	24.97
